person,cnpj_basico,cnpj_14,razao_social,cnae_fiscal,situacao_cadastral,qualificacao_socio
HENRIQUE MOURA VORCARO,00771590,00771590000156,TROPICAL CLUBE DE MINAS GERAIS,9312300,2,16
HENRIQUE MOURA VORCARO,07941681,07941681000131,RENOVO RECICLAGEM DE RESIDUOS LTDA,3839499,8,49
HENRIQUE MOURA VORCARO,23060497,23060497000139,MULTIMAX PARTICIPACOES S/A,6462000,2,10
HENRIQUE MOURA VORCARO,23143750,23143750000118,INFINITY PARTICIPACOES S/A,6462000,2,10
HENRIQUE MOURA VORCARO,34370281,34370281000196,HV EMPREENDIMENTOS E PARTICIPACOES LTDA,6462000,2,49
HENRIQUE MOURA VORCARO,45176912,45176912000157,PROLIFE MG HOLDING LTDA.,6462000,2,5
HENRIQUE MOURA VORCARO,45392389,45392389000104,ABM INVESTIMENTOS IMOBILIARIOS LTDA,6810201,4,5
HENRIQUE MOURA VORCARO,47923536,47923536000142,RETIRO PARTICIPACOES LTDA.,6463800,2,5
HENRIQUE MOURA VORCARO,48003763,48003763000112,ANTONIO CARLOS TOWER LTDA.,6463800,2,5
HENRIQUE MOURA VORCARO,05684503,05684503000147,HELTON JONAS G. VILELA & CIA LTDA,8640202,8,22
HENRIQUE MOURA VORCARO,09080009,09080009000124,EUKARYOTA PARTICIPACOES S/A.,6810202,2,16
HENRIQUE MOURA VORCARO,43980076,43980076000133,SHINE BAZAR E COSMETICOS LTDA,4772500,2,49
HENRIQUE MOURA VORCARO,47887966,47887966000156,BELO PARTICIPACOES LTDA.,6463800,2,5
HENRIQUE MOURA VORCARO,03341474,03341474000195,TOTES MANUTENCAO LTDA,9511800,4,22
HENRIQUE MOURA VORCARO,05214522,05214522000100,JULIO LOURENCO NETO E CIA LTDA,4785701,4,22
HENRIQUE MOURA VORCARO,04637092,04637092000176,SUN CLEAN DO BRASIL LTDA.,4663000,8,49
HENRIQUE MOURA VORCARO,38673471,38673471000133,CENTRO SUL EMPREENDIMENTOS LTDA,6810201,2,5
HENRIQUE MOURA VORCARO,71103097,71103097000106,BLUE BAHIA LTDA,4689301,8,49
HENRIQUE MOURA VORCARO,71382980,71382980000182,SOZO PARTICIPACOES S.A.,6462000,2,5
HENRIQUE MOURA VORCARO,44587323,44587323000107,RENATO TOMAIN LTDA,8630504,2,49
HENRIQUE MOURA VORCARO,45377502,45377502000174,FALCON BH INVESTIMENTOS LTDA.,6462000,2,5
HENRIQUE MOURA VORCARO,47915171,47915171000104,ARRAIAL PARTICIPACOES LTDA.,6463800,2,5
HENRIQUE MOURA VORCARO,48004315,48004315000133,TERNI PARTICIPACOES LTDA.,6463800,2,5
HENRIQUE MOURA VORCARO,63243534,63243534000169,SUPERMERCADO MG DA ECONOMIA LTDA,4712100,2,49
HENRIQUE MOURA VORCARO,02550142,02550142000158,MERCATO CONSULTORIA IMOBILIARIA LTDA.,6821802,2,5
HENRIQUE MOURA VORCARO,42925347,42925347000195,VORCARO EMPREENDIMENTOS LTDA,6821802,2,5
